Mês,Dia,Hora,Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3}
1,1,1,92.5,11.758.182,86,1.089
1,2,1,92.2,13.934.006,86,1.072
1,3,1,92.0,14.618.576,72,1.055
1,3,2,91.9,15.239.751,76,1.054
1,3,3,91.9,15.166.187,85,1.061
1,3,4,91.9,14.577.533,96,1.071
1,3,5,91.8,15.255.419,98,1.068
1,3,6,91.8,153.537,98,1.067
1,3,7,91.8,15.228.175,96,1.066
1,3,8,91.9,15.367.091,95,1.066
1,3,9,91.9,15.383.221,93,1.065
1,3,10,91.8,15.233.422,90,1.062
1,3,11,91.8,15.490.368,85,1.058
1,3,12,91.8,15.490.368,85,1.058
1,3,13,91.8,1.532.304,82,1.057
1,3,14,91.7,16.157.447,88,1.055
1,3,15,91.7,1.501.708,84,1.058
1,3,16,91.6,1.586.169,92,1.058
1,3,17,91.6,15.823.709,95,1.060
1,3,18,91.6,15.066.329,96,1.065
1,3,19,91.6,14.872.206,96,1.066
1,3,20,91.7,14.329.757,89,1.066
1,3,21,91.7,14.701.348,91,1.065
1,3,22,91.8,15.526.338,96,1.065
1,3,23,91.8,15.668.758,97,1.064
1,3,24,91.9,14.145.219,99,1.075
1,4,1,91.9,12.877.026,96,1.081
1,4,2,91.9,12.835.471,95,1.081
1,4,3,91.8,12.807.042,96,1.081
1,4,4,91.8,12.308.962,94,1.082
1,4,5,91.8,11.826.776,94,1.086
1,4,6,91.9,11.776.172,95,1.088
1,4,7,92.0,11.767.642,97,1.090
1,4,8,92.0,11.920.475,95,1.088
1,4,9,92.1,12.308.738,95,1.086
1,4,10,92.1,12.267.252,94,1.086
1,4,11,92.1,12.765.018,94,1.083
1,4,12,92.1,1.247.274,95,1.085
1,4,13,92.1,12.765.018,94,1.083
1,4,14,92.1,12.598.891,91,1.082
1,4,15,92.0,12.543.532,81,1.074
1,4,16,92.0,12.405.796,87,1.079
1,4,17,92.0,12.448.977,86,1.078
1,4,18,91.9,12.335.976,87,1.078
1,4,19,91.9,12.251.824,88,1.080
1,4,20,92.0,12.154.911,88,1.082
1,4,21,92.0,1.191.412,92,1.086
1,4,22,92.2,11.297.187,91,1.091
1,4,23,92.2,11.415.517,91,1.091
1,4,24,92.2,1.137.992,92,1.092
1,5,1,92.1,11.907.055,95,1.089
1,5,2,92.1,11.865.618,94,1.089
1,5,3,92.1,12.149.245,97,1.089
1,5,4,92.0,12.245.804,99,1.088
1,5,5,92.0,12.284.777,98,1.087
1,5,6,92.0,12.162.847,97,1.087
1,5,7,92.1,12.555.771,97,1.086
1,5,8,92.1,12.514.253,96,1.086
1,5,9,92.1,12.725.057,92,1.082
1,5,10,92.2,13.155.399,87,1.077
1,5,11,92.2,14.236.297,90,1.073
1,5,12,92.2,1.408.798,79,1.066
1,5,13,92.2,14.595.004,78,1.062
1,5,14,92.2,15.585.562,88,1.064
1,5,15,92.1,1.560.356,88,1.063
1,5,16,92.1,15.197.384,88,1.065
1,5,17,92.1,14.997.775,88,1.066
1,5,18,92.0,14.789.354,91,1.068
1,5,19,92.0,14.280.151,89,1.069
1,5,20,92.1,14.483.924,91,1.071
1,5,21,92.2,14.309.297,94,1.075
1,5,22,92.2,13.980.772,95,1.077
1,5,23,92.3,13.783.283,95,1.079
1,5,24,92.3,14.098.367,96,1.078
1,6,1,92.3,13.783.283,95,1.079
1,6,2,92.2,1.344.126,95,1.080
1,6,3,92.2,12.876.747,95,1.084
1,6,4,92.1,12.722.375,95,1.084
1,6,5,92.1,12.722.375,95,1.084
1,6,6,92.1,12.722.375,95,1.084
1,6,7,92.2,13.008.753,93,1.082
1,6,8,92.2,13.572.571,85,1.073
1,6,9,92.3,13.315.881,79,1.071
1,6,10,92.3,13.065.376,69,1.065
1,6,11,92.3,14.385.764,73,1.061
1,6,12,92.2,14.226.583,65,1.053
1,6,13,92.2,14.537.608,65,1.052
1,6,14,92.1,14.986.351,63,1.046
1,6,15,92.1,15.063.512,60,1.043
1,6,16,92.1,15.493.854,63,1.043
1,6,17,92.0,16.253.324,71,1.046
1,6,18,92.0,16.253.324,71,1.046
1,6,19,92.0,15.931.917,68,1.045
1,6,20,92.0,15.423.238,69,1.048
1,6,21,92.2,15.270.011,81,1.061
1,6,22,92.2,14.620.375,80,1.063
1,6,23,92.3,14.853.542,84,1.066
1,6,24,92.3,15.020.688,88,1.068
1,7,1,92.4,14.836.205,84,1.068
1,7,2,92.4,14.945.969,88,1.070
1,7,3,92.3,14.504.542,91,1.072
1,7,4,92.2,14.486.685,96,1.075
1,7,5,92.2,14.403.198,94,1.074
1,7,6,92.2,14.319.735,92,1.073
1,7,7,92.3,14.209.676,92,1.075
1,7,8,92.3,14.230.875,89,1.073
1,7,9,92.4,15.071.374,91,1.070
1,7,10,92.5,15.155.319,82,1.065
1,7,11,92.5,15.029.934,80,1.064
1,7,12,92.5,15.192.217,76,1.060
1,7,13,92.5,1.529.693,76,1.060
1,7,14,92.4,14.877.661,68,1.054
1,7,15,92.4,15.462.633,76,1.058
1,7,16,92.4,15.694.229,79,1.059
1,7,17,92.3,15.480.701,83,1.062
1,7,18,92.3,16.196.863,85,1.059
1,7,19,92.4,14.752.671,83,1.067
1,7,20,92.4,15.824.508,96,1.070
1,7,21,92.4,1.497.271,96,1.075
1,7,22,92.5,15.206.549,96,1.074
1,7,23,92.7,153.127,97,1.076
1,7,24,92.7,14.907.434,92,1.076
1,8,1,92.6,14.827.023,92,1.075
1,8,2,92.5,14.513.183,91,1.075
1,8,3,92.4,14.569.188,100,1.079
1,8,4,92.4,14.392.464,98,1.079
1,8,5,92.3,14.408.511,98,1.078
1,8,6,92.4,14.132.917,95,1.078
1,8,7,92.4,14.058.708,91,1.077
1,8,8,92.5,14.001.016,90,1.077
1,8,9,92.5,13.677.335,83,1.074
1,8,10,92.6,14.159.219,80,1.070
1,8,11,92.6,15.196.862,71,1.058
1,8,12,92.6,15.813.548,68,1.052
1,8,13,92.5,1.507.698,65,1.052
1,8,14,92.5,15.540.385,64,1.049
1,8,15,92.4,16.083.286,59,1.039
1,8,16,92.4,16.158.541,58,1.039
1,8,17,92.3,16.249.436,74,1.051
1,8,18,92.3,14.269.303,75,1.062
1,8,19,92.3,1.390.452,76,1.066
1,8,20,92.3,14.849.882,90,1.070
1,8,21,92.4,15.155.008,92,1.071
1,8,22,92.6,15.586.861,96,1.073
1,8,23,92.6,15.189.495,96,1.075
1,8,24,92.6,14.110.138,93,1.080
1,9,1,92.6,14.254.806,92,1.078
1,9,2,92.5,14.270.984,92,1.077
1,9,3,92.4,14.423.145,93,1.076
1,9,4,92.3,14.947.701,96,1.073
1,9,5,92.3,14.947.701,96,1.073
1,9,6,92.3,14.796.906,96,1.074
1,9,7,92.4,1.426.726,96,1.078
1,9,8,92.4,13.915.766,92,1.078
1,9,9,92.5,14.593.232,87,1.072
1,9,10,92.5,13.871.026,76,1.068
1,9,11,92.6,14.488.145,70,1.060
1,9,12,92.5,14.753.952,68,1.056
1,9,13,92.5,1.507.698,65,1.052
1,9,14,92.4,14.095.587,53,1.044
1,9,15,92.3,14.239.489,54,1.044
1,9,16,92.2,14.431.231,51,1.037
1,9,17,92.2,149.672,63,1.047
1,9,18,92.2,14.081.417,93,1.075
1,9,19,92.3,13.923.323,94,1.078
1,9,20,92.3,15.017.065,93,1.071
1,9,21,92.3,15.355.275,94,1.070
1,9,22,92.3,15.438.983,96,1.070
1,9,23,92.4,14.860.714,92,1.073
1,9,24,92.4,14.902.507,93,1.073
1,10,1,92.4,1.505.634,98,1.075
1,10,2,92.4,14.715.475,99,1.078
1,10,3,92.3,14.173.526,99,1.080
1,10,4,92.2,13.691.124,100,1.082
1,10,5,92.2,13.473.666,99,1.083
1,10,6,92.2,13.958.718,100,1.080
1,10,7,92.3,14.399.223,100,1.079
1,10,8,92.3,14.785.003,98,1.076
1,10,9,92.3,15.329.668,92,1.068
1,10,10,92.3,15.564.909,78,1.058
1,10,11,92.3,14.687.616,65,1.052
1,10,12,92.3,15.552.447,65,1.047
1,10,13,92.3,14.489.383,57,1.045
1,10,14,92.2,14.300.208,55,1.043
1,10,15,92.2,15.223.923,51,1.034
1,10,16,92.1,13.903.245,50,1.039
1,10,17,92.1,148.688,71,1.054
1,10,18,92.1,15.455.423,84,1.061
1,10,19,92.1,15.055.488,88,1.065
1,10,20,92.1,15.561.698,88,1.063
1,10,21,92.1,14.705.353,83,1.064
1,10,22,92.2,1.522.167,89,1.066
1,10,23,92.2,1.463.029,89,1.070
1,10,24,92.3,13.844.855,83,1.071
1,11,1,92.3,14.064.082,86,1.072
1,11,2,92.2,1.443.767,89,1.071
1,11,3,92.2,14.007.436,90,1.074
1,11,4,92.1,14.014.034,91,1.073
1,11,5,92.1,14.148.629,92,1.073
1,11,6,92.1,14.097.422,93,1.074
1,11,7,92.1,14.148.629,92,1.073
1,11,8,92.2,14.152.883,89,1.072
1,11,9,92.2,14.129.659,80,1.066
1,11,10,92.2,13.994.982,70,1.059
1,11,11,92.2,14.767.629,67,1.052
1,11,12,92.2,14.758.597,60,1.046
1,11,13,92.2,15.056.478,58,1.042
1,11,14,92.2,14.570.416,53,1.040
1,11,15,92.2,11.688.715,41,1.042
1,11,16,92.2,12.253.567,40,1.037
1,11,17,92.1,13.762.106,48,1.037
1,11,18,92.0,13.191.765,44,1.034
1,11,19,92.2,15.645.219,81,1.058
1,11,20,92.3,15.735.102,92,1.066
1,11,21,92.3,15.438.983,96,1.070
1,11,22,92.3,13.307.073,80,1.072
1,11,23,92.3,13.473.478,83,1.073
1,11,24,92.4,13.457.662,83,1.075
1,12,1,92.4,1.286.748,74,1.072
1,12,2,92.4,12.950.549,76,1.072
1,12,3,92.3,14.094.905,88,1.073
1,12,4,92.2,14.236.297,90,1.073
1,12,5,92.2,14.090.819,91,1.074
1,12,6,92.2,14.081.417,93,1.075
1,12,7,92.3,13.526.633,91,1.078
1,12,8,92.3,12.585.736,81,1.078
1,12,9,92.3,14.307.218,80,1.066
1,12,10,92.3,15.208.458,74,1.056
1,12,11,92.3,14.540.576,64,1.052
1,12,12,92.3,14.145.882,58,1.048
1,12,13,92.3,14.281.123,55,1.044
1,12,14,92.3,1.386.506,50,1.041
1,12,15,92.2,13.884.131,50,1.040
1,12,16,92.2,14.320.555,51,1.038
1,12,17,92.1,12.914.643,45,1.038
1,12,18,92.1,11.906.151,42,1.040
1,12,19,92.1,11.988.823,42,1.041
